File,Iteration,Duration_w_all_Columns,Num_op_w_all_columns,Number of error,Round,Rows-Column
6,0,967.0824010009937,0,0,0,51
7,0,715.819682998017,0,0,0,51
6,1,287.3813170010635,0,0,1,51
7,1,211.9279810020771,0,0,1,51
6,2,133.78689699879942,0,0,2,51
7,2,113.90776100017774,0,0,2,51
6,3,210.98302900009003,0,0,3,51
7,3,203.17090799778725,0,0,3,51
6,4,243.86654500221994,0,0,4,51
7,4,244.72924299982424,0,0,4,51
6,5,175.8866950007132,0,0,5,51
7,5,170.36943299967788,0,0,5,51
6,6,153.9503869996679,0,0,6,51
7,6,150.83620499785866,0,0,6,51
6,7,133.6011089999829,0,0,7,51
7,7,114.46295600069334,0,0,7,51
6,8,151.24989399942024,0,0,8,51
7,8,234.69987900080014,0,0,8,51
6,9,199.964954000734,0,0,9,51
7,9,165.89410500012036,0,0,9,51
6,10,460.09724299824484,0,0,10,51
7,10,283.0833400017809,0,0,10,51
6,11,536.4222589998917,0,0,11,51
7,11,629.4590190002509,0,0,11,51
6,12,727.0637739997028,0,0,12,51
7,12,664.9696240014009,0,0,12,51
6,13,790.4139980006448,0,0,13,51
7,13,556.8555720016093,0,0,13,51
6,14,680.2800059987248,0,0,14,51
7,14,601.2063549998174,0,0,14,51
6,15,145.73589800352238,0,0,15,51
7,15,128.5425060034413,0,0,15,51
6,16,187.88320100020428,0,0,16,51
7,16,171.80266200216465,0,0,16,51
6,17,656.7192300018405,0,0,17,51
7,17,614.1297659995644,0,0,17,51
6,18,452.0534850025797,0,0,18,51
7,18,404.67456600299556,0,0,18,51
6,19,575.6221570011348,0,0,19,51
7,19,495.1515749983173,0,0,19,51
6,0,222.77026000267597,0,0,0,52
7,0,193.58105099820477,0,0,0,52
6,1,978.8474909983051,0,0,1,52
7,1,886.8815780024306,0,0,1,52
6,2,745.2334450023272,0,0,2,52
7,2,536.0448360030432,0,0,2,52
6,3,698.1621830000222,0,0,3,52
7,3,579.6364489993948,0,0,3,52
6,4,631.7751000008229,0,0,4,52
7,4,557.172609998247,0,0,4,52
6,5,699.4378319977841,0,0,5,52
7,5,650.1397309967842,0,0,5,52
6,6,607.3520950011471,0,0,6,52
7,6,551.5061540003217,0,0,6,52
6,7,298.7026640039403,0,0,7,52
7,7,305.717367000625,0,0,7,52
6,8,469.9880159994336,0,0,8,52
7,8,426.73305799928585,0,0,8,52
6,9,649.7430569995686,0,0,9,52
7,9,666.3348510022615,0,0,9,52
6,10,500.6190150004386,0,0,10,52
7,10,485.45109199778835,0,0,10,52
6,11,161.05257099980008,0,0,11,52
7,11,139.56648899932134,0,0,11,52
6,12,125.60883999935868,0,0,12,52
7,12,102.25912300131768,0,0,12,52
6,13,209.31858399944758,0,0,13,52
7,13,183.8830359977237,0,0,13,52
6,14,158.40657200101305,0,0,14,52
7,14,152.4942979995103,0,0,14,52
6,15,171.89675399856696,0,0,15,52
7,15,219.11600600253678,0,0,15,52
6,16,654.7353820003536,0,0,16,52
7,16,512.640534002685,0,0,16,52
6,17,424.92312800254695,0,0,17,52
7,17,358.7963540016972,0,0,17,52
6,18,485.89635100040596,0,0,18,52
7,18,417.2431279984039,0,0,18,52
6,19,458.81238399965696,0,0,19,52
7,19,403.43619699967803,0,0,19,52
6,0,728.6175990006996,0,0,0,53
7,0,624.2544849991418,0,0,0,53
6,1,924.8512989985329,0,0,1,53
7,1,864.9338270022326,0,0,1,53
6,2,384.6256300020059,0,0,2,53
7,2,366.32983699837496,0,0,2,53
6,3,613.6659880010029,0,0,3,53
7,3,582.121717001769,0,0,3,53
6,4,424.4104619972404,0,0,4,53
7,4,345.4940379990603,0,0,4,53
6,5,587.1500460006018,0,0,5,53
7,5,542.7289689998815,0,0,5,53
6,6,437.8750950035055,0,0,6,53
7,6,299.9449889983907,0,0,6,53
6,7,115.29388699659648,0,0,7,53
7,7,106.59105999673102,0,0,7,53
6,8,165.0211899967644,0,0,8,53
7,8,131.13157599934766,0,0,8,53
6,9,386.91032799704317,0,0,9,53
7,9,363.8794520002193,0,0,9,53
6,10,122.00113500080079,0,0,10,53
7,10,114.31224200111956,0,0,10,53
6,11,120.54117700006373,0,0,11,53
